synthetic//baseline black_box selfish: PoA=1.15903, checks=0.50000, PoA=1.15903, checks=0.50000
letter_of_credit/export_bank_review__0/baseline black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/baseline certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__0/baseline certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/baseline verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__0/baseline verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__0/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__0/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__0/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=2.27912, checks=0.10549
letter_of_credit/export_bank_review__0/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=2.27912, checks=0.10549
letter_of_credit/export_bank_review__0/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__0/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=2.27912, checks=0.10549
letter_of_credit/export_bank_review__0/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__0/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__0/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__1/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__1/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__1/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.23370, checks=0.79620
letter_of_credit/export_bank_review__1/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.23370, checks=0.79620
letter_of_credit/export_bank_review__1/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__1/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.23370, checks=0.79620
letter_of_credit/export_bank_review__1/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__1/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__1/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__2/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__2/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__2/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__2/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/export_bank_review__3/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/export_bank_review__3/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/bearer_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/bearer_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/bearer_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/bearer_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/bearer_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/bearer_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/fully_aligned black_box selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/fully_aligned black_box resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/fully_aligned certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/fully_aligned certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
letter_of_credit/issuing_review__3/fully_aligned verified_certificate selfish: PoA=2.63827, checks=0.00000, PoA=1.05701, checks=0.87908
letter_of_credit/issuing_review__3/fully_aligned verified_certificate resp-Proportional: PoA=2.63827, checks=0.00000, PoA=2.63827, checks=0.00000
